-8.6 0.024 0.117 1
-8.2 0.0311 0.141 1
-7.8 0.0398 0.167 1
-7.4 0.0504 0.198 1
-7 0.0631 0.231 1
-6.6 0.0783 0.268 1
-6.2 0.096 0.308 1
-5.8 0.117 0.351 1
-5.4 0.14 0.396 1
-5 0.166 0.443 1
-4.6 0.196 0.491 1
-4.2 0.228 0.54 1
-3.8 0.263 0.588 1
-3.4 0.3 0.636 1
-3 0.34 0.682 1
-2.6 0.382 0.725 1
-2.2 0.425 0.766 1
-1.8 0.47 0.802 1.07
-1.4 0.515 0.835 1.08
-1 0.56 0.864 1.09
-0.6 0.605 0.888 1.1
-0.2 0.649 0.908 1.11
0.2 0.693 0.923 1.12
0.6 0.735 0.936 1.13
1 0.775 0.945 1.14
1.4 0.814 0.951 1.14
1.8 0.852 0.956 1.13
2.2 0.888 0.959 1.12
2.6 0.924 0.96 1.1
3 0.958 0.961 1.08
3.4 0.992 0.962 1.05
3.8 1.03 0.962 1.01
4.2 1.06 0.961 0.971
4.6 1.09 0.96 0.922
5 1.13 0.957 0.867
5.4 1.17 0.954 0.809
5.8 1.21 0.948 0.749
6.2 1.25 0.941 0.687
6.6 1.29 0.93 0.625
7 1.33 0.916 0.565
7.4 1.37 0.898 0.506
7.8 1.42 0.876 0.451
8.2 1.46 0.85 0.399
8.6 1.51 0.819 0.35
9 1.55 0.785 0.305
9.4 1.6 0.746 0.265
9.8 1.64 0.704 0.228
10.2 1.68 0.659 0.195
10.6 1.72 0.612 0.166
11 1.75 0.564 0.14
11.4 1.79 0.516 0.117
11.8 1.82 0.467 0.0978
12.2 1.85 0.42 0.0808
12.6 1.87 0.373 0.0664
13 1.89 0.329 0.0543
13.4 1.91 0.288 0.0441
13.8 1.93 0.249 0.0356
14.2 1.94 0.214 0.0285
14.6 1.96 0.182 0.0228
15 1.96 0.154 0.0181
15.4 1.97 0.128 0.0144
15.8 1.98 0.106 0.0113
16.2 1.98 0.0875 0.00891
16.6 1.99 0.0715 0.00701
17 1.99 0.0581 0.0055
17.4 1.99 0.0469 0.00431
17.8 2 0.0377 0.00337
18.2 2 0.0301 0.00263
18.6 2 0.024 0.00205
19 2 0.0191 0.0016
19.4 2 0.0151 0.00125
19.8 2 0.012 0.000974
20.2 2 0.00946 0.00076
20.6 2 0.00749 0.000593
21 2 0.00592 0.000463
21.4 2 0.00469 0.000361
21.8 2 0.00371 0.000281
22.2 2 0.00293 0.000219
22.6 2 0.00232 0.00017
23 2 0.00183 0.000133
23.4 2 0.00145 0.000103
23.8 2 0.00115 8.04e-05
24.2 2 0.000907 6.27e-05
24.6 2 0.000719 4.88e-05
25 2 0.000569 3.8e-05
25.4 2 0.00045 2.96e-05
25.8 2 0.000356 2.31e-05
26.2 2 0.000282 1.8e-05
26.6 2 0.000223 1.4e-05
27 2 0.000176 1.09e-05
27.4 2 0.000139 8.49e-06
27.8 2 0.00011 6.61e-06
28.2 2 8.68e-05 5.15e-06
28.6 2 6.85e-05 4.01e-06
29 2 5.4e-05 3.12e-06
29.4 2 4.27e-05 2.43e-06
29.8 2 3.38e-05 1.89e-06
30.2 2 2.67e-05 1.47e-06
30.6 2 2.11e-05 1.15e-06
31 2 1.66e-05 8.95e-07
31.4 2 1.31e-05 6.96e-07
31.8 2 1.03e-05 5.43e-07
32.2 2 8.17e-06 4.23e-07
32.6 2 6.45e-06 3.29e-07
33 2 5.09e-06 2.56e-07
33.4 2 4.01e-06 2e-07
33.8 2 3.16e-06 1.55e-07
34.2 2 2.49e-06 1.21e-07
34.6 2 1.96e-06 9.43e-08
35 2 1.54e-06 7.35e-08
35.4 2 1.22e-06 5.72e-08
35.8 2 9.58e-07 4.45e-08
36.2 2 7.55e-07 3.47e-08
36.6 2 5.96e-07 2.7e-08
37 2 4.7e-07 2.1e-08
37.4 2 3.69e-07 1.64e-08
37.8 2 2.91e-07 1.28e-08
38.2 2 2.29e-07 9.94e-09
38.6 2 1.8e-07 7.75e-09
