-8.6 0.0241 0.116 1
-8.2 0.031 0.14 1
-7.8 0.0396 0.166 1
-7.4 0.0499 0.196 1
-7 0.0623 0.229 1
-6.6 0.0769 0.265 1
-6.2 0.094 0.304 1
-5.8 0.114 0.345 1
-5.4 0.136 0.389 1
-5 0.161 0.435 1
-4.6 0.189 0.482 1
-4.2 0.219 0.53 1
-3.8 0.252 0.578 1
-3.4 0.287 0.625 1
-3 0.325 0.67 1
-2.6 0.364 0.714 1
-2.2 0.404 0.754 1
-1.8 0.446 0.792 1
-1.4 0.489 0.825 1
-1 0.531 0.853 1
-0.6 0.573 0.877 1
-0.2 0.615 0.896 1
0.2 0.655 0.91 1
0.6 0.694 0.919 1
1 0.731 0.924 1
1.4 0.765 0.924 1.13
1.8 0.797 0.92 1.14
2.2 0.827 0.912 1.15
2.6 0.853 0.902 1.16
3 0.877 0.89 1.16
3.4 0.899 0.875 1.17
3.8 0.917 0.86 1.18
4.2 0.933 0.844 1.18
4.6 0.947 0.828 1.19
5 0.958 0.813 1.19
5.4 0.967 0.799 1.19
5.8 0.975 0.786 1.19
6.2 0.982 0.775 1.19
6.6 0.987 0.766 1.19
7 0.991 0.759 1.19
7.4 0.995 0.754 1.19
7.8 0.998 0.752 1.18
8.2 1 0.752 1.18
8.6 1 0.754 1.18
9 1.01 0.759 1.17
9.4 1.01 0.766 1.16
9.8 1.02 0.775 1.15
10.2 1.02 0.786 1.13
10.6 1.03 0.799 1.11
11 1.04 0.813 1.09
11.4 1.05 0.828 1.07
11.8 1.07 0.844 1.03
12.2 1.08 0.86 0.996
12.6 1.1 0.875 0.954
13 1.12 0.89 0.909
13.4 1.15 0.902 0.86
13.8 1.17 0.912 0.808
14.2 1.2 0.92 0.754
14.6 1.23 0.924 0.698
15 1.27 0.924 0.642
15.4 1.31 0.919 0.587
15.8 1.34 0.91 0.533
16.2 1.38 0.896 0.481
16.6 1.43 0.877 0.431
17 1.47 0.853 0.385
17.4 1.51 0.825 0.341
17.8 1.55 0.792 0.3
18.2 1.6 0.754 0.262
18.6 1.64 0.714 0.228
19 1.68 0.67 0.197
19.4 1.71 0.625 0.169
19.8 1.75 0.578 0.144
20.2 1.78 0.53 0.122
20.6 1.81 0.482 0.103
21 1.84 0.435 0.0857
21.4 1.86 0.389 0.071
21.8 1.89 0.345 0.0584
22.2 1.91 0.304 0.0478
22.6 1.92 0.265 0.0388
23 1.94 0.229 0.0314
23.4 1.95 0.196 0.0252
23.8 1.96 0.166 0.0201
24.2 1.97 0.14 0.016
24.6 1.98 0.116 0.0127
25 1.98 0.0963 0.00999
25.4 1.99 0.0791 0.00787
25.8 1.99 0.0645 0.00618
26.2 1.99 0.0522 0.00485
26.6 1.99 0.0421 0.0038
27 2 0.0337 0.00297
27.4 2 0.0269 0.00232
27.8 2 0.0214 0.00181
28.2 2 0.017 0.00142
28.6 2 0.0135 0.0011
29 2 0.0107 0.000861
29.4 2 0.00844 0.000671
29.8 2 0.00667 0.000523
30.2 2 0.00528 0.000408
30.6 2 0.00417 0.000318
31 2 0.0033 0.000248
31.4 2 0.00261 0.000193
31.8 2 0.00206 0.00015
32.2 2 0.00163 0.000117
32.6 2 0.00129 9.12e-05
33 2 0.00102 7.1e-05
33.4 2 0.000807 5.53e-05
33.8 2 0.00064 4.31e-05
34.2 2 0.000506 3.36e-05
34.6 2 0.0004 2.61e-05
35 2 0.000317 2.04e-05
35.4 2 0.00025 1.59e-05
35.8 2 0.000198 1.23e-05
36.2 2 0.000156 9.61e-06
36.6 2 0.000124 7.49e-06
37 2 9.76e-05 5.84e-06
37.4 2 7.71e-05 4.54e-06
37.8 2 6.09e-05 3.54e-06
38.2 2 4.8e-05 2.75e-06
38.6 2 3.8e-05 2.14e-06
39 2 3e-05 1.67e-06
39.4 2 2.37e-05 1.3e-06
39.8 2 1.87e-05 1.01e-06
40.2 2 1.48e-05 7.9e-07
40.6 2 1.16e-05 6.15e-07
41 2 9.2e-06 4.79e-07
41.4 2 7.26e-06 3.73e-07
41.8 2 5.73e-06 2.9e-07
42.2 2 4.53e-06 2.26e-07
42.6 2 3.56e-06 1.76e-07
43 2 2.8e-06 1.37e-07
43.4 2 2.21e-06 1.07e-07
43.8 2 1.74e-06 8.33e-08
44.2 2 1.37e-06 6.48e-08
44.6 2 1.08e-06 5.05e-08
45 2 8.54e-07 3.93e-08
45.4 2 6.75e-07 3.06e-08
45.8 2 5.32e-07 2.38e-08
46.2 2 4.2e-07 1.86e-08
46.6 2 3.32e-07 1.45e-08
47 2 2.62e-07 1.13e-08
47.4 2 2.07e-07 8.78e-09
47.8 2 1.63e-07 6.84e-09
48.2 2 1.29e-07 5.32e-09
48.6 2 1.01e-07 4.14e-09
49 2 7.94e-08 3.23e-09
49.4 2 6.25e-08 2.51e-09
49.8 2 4.93e-08 1.96e-09
50.2 2 3.88e-08 1.53e-09
50.6 2 3.07e-08 1.19e-09
51 2 2.46e-08 9.24e-10
51.4 2 1.97e-08 7.19e-10
51.8 2 1.61e-08 5.6e-10
52.2 2 1.3e-08 4.36e-10
52.6 2 1.08e-08 3.4e-10
53 2 8.96e-09 2.65e-10
53.4 2 7.5e-09 2.06e-10
53.8 2 6.13e-09 1.61e-10
54.2 2 5.23e-09 1.25e-10
54.6 2 4.47e-09 9.75e-11
55 2 3.89e-09 7.59e-11
55.4 2 3.43e-09 5.92e-11
55.8 2 3.16e-09 4.57e-11
56.3 2 2.78e-09 3.48e-11
56.7 2 2.63e-09 2.63e-11
57.1 2 2.38e-09 2.02e-11
