# U0/t0  Spi
3.062 0.976
4.593 1.074
6.124 1.196
7.655 1.313
9.378 1.434
11.1 1.481
12.82 1.477
14.54 1.451
16.27 1.411
17.99 1.372
19.71 1.314
21.43 1.278
