# U0/t0  Spi
3.062 0.9881
4.593 1.11
6.124 1.26
7.655 1.411
9.378 1.59
11.1 1.651
12.82 1.673
14.54 1.639
16.27 1.557
17.99 1.471
19.71 1.391
21.43 1.344
