# U0/t0  Spi
3.062 0.9947
4.593 1.133
6.124 1.31
7.655 1.48
9.378 1.718
11.1 1.829
12.82 1.816
14.54 1.762
16.27 1.638
17.99 1.549
19.71 1.457
21.43 1.409
