# U0/t0  Spi
3.062 0.9292
4.593 1.013
6.124 1.093
7.655 1.178
9.378 1.254
11.1 1.291
12.82 1.299
14.54 1.297
16.27 1.267
17.99 1.234
19.71 1.205
21.43 1.181
