# U0/t0  Spi
3.062 0.8258
4.593 0.8874
6.124 0.9457
7.655 0.997
9.378 1.051
11.1 1.096
12.82 1.11
14.54 1.114
16.27 1.112
17.99 1.102
19.71 1.09
21.43 1.082
