# U0/t0  Spi
3.062 1.006
4.593 1.142
6.124 1.325
7.655 1.537
9.378 1.804
11.1 1.958
12.82 1.931
14.54 1.855
16.27 1.724
17.99 1.609
19.71 1.51
21.43 1.459
