# U0/t0  Spi
3.062 1.013
4.593 1.144
6.124 1.343
7.655 1.577
9.378 1.895
11.1 2.067
12.82 2.011
14.54 1.938
16.27 1.782
17.99 1.652
19.71 1.547
21.43 1.494
