-6.6 0.029 0.109 1
-6.2 0.041 0.138 1
-5.8 0.0558 0.17 1
-5.4 0.0737 0.205 1
-5 0.095 0.244 1
-4.6 0.12 0.286 1
-4.2 0.148 0.331 1
-3.8 0.18 0.377 1
-3.4 0.216 0.424 1
-3 0.255 0.471 1
-2.6 0.296 0.518 1
-2.2 0.341 0.564 1
-1.8 0.387 0.608 1
-1.4 0.435 0.649 1
-1 0.484 0.687 1
-0.6 0.533 0.721 1
-0.2 0.582 0.75 1
0.2 0.631 0.774 1
0.6 0.677 0.793 1
1 0.722 0.804 1
1.4 0.763 0.815 1.19
1.8 0.801 0.819 1.22
2.2 0.836 0.819 1.25
2.6 0.867 0.814 1.28
3 0.895 0.804 1.31
3.4 0.919 0.797 1.33
3.8 0.939 0.785 1.35
4.2 0.956 0.772 1.37
4.6 0.969 0.759 1.38
5 0.98 0.746 1.39
5.4 0.987 0.733 1.4
5.8 0.993 0.721 1.4
6.2 0.997 0.711 1.41
6.6 0.999 0.701 1.41
7 1 0.694 1.41
7.4 1 0.689 1.41
7.8 1 0.687 1.41
8.2 0.999 0.687 1.41
8.6 0.999 0.689 1.41
9 0.999 0.694 1.41
9.4 1 0.701 1.41
9.8 1 0.711 1.4
10.2 1.01 0.721 1.38
10.6 1.01 0.733 1.36
11 1.02 0.746 1.34
11.4 1.03 0.759 1.3
11.8 1.04 0.772 1.25
12.2 1.06 0.785 1.2
12.6 1.08 0.797 1.13
13 1.1 0.804 1.06
13.4 1.13 0.814 0.98
13.8 1.16 0.819 0.898
14.2 1.2 0.819 0.816
14.6 1.24 0.815 0.735
15 1.28 0.804 0.656
15.4 1.32 0.793 0.583
15.8 1.37 0.774 0.514
16.2 1.42 0.75 0.449
16.6 1.47 0.721 0.39
17 1.52 0.687 0.337
17.4 1.56 0.649 0.29
17.8 1.61 0.608 0.248
18.2 1.66 0.564 0.209
18.6 1.7 0.518 0.175
19 1.75 0.471 0.144
19.4 1.78 0.424 0.117
19.8 1.82 0.377 0.0946
20.2 1.85 0.331 0.0767
20.6 1.88 0.286 0.0616
21 1.9 0.244 0.048
21.4 1.93 0.205 0.0361
21.8 1.94 0.17 0.0266
22.2 1.96 0.138 0.0192
22.6 1.97 0.109 0.0137
