# U0/t0  S/(Nkb)
3.062 0.5015
4.593 0.477
6.124 0.4587
7.655 0.4439
9.378 0.4297
11.1 0.4173
12.82 0.398
14.54 0.3877
16.27 0.3748
17.99 0.3764
19.71 0.3933
21.43 0.4005
