# U0/t0  S/(Nkb)
3.062 0.6838
4.593 0.6403
6.124 0.6035
7.655 0.5724
9.378 0.5482
11.1 0.5292
12.82 0.517
14.54 0.5019
16.27 0.4944
17.99 0.4901
19.71 0.4967
21.43 0.5093
