# U0/t0  S/(Nkb)
3.062 0.4847
4.593 0.462
6.124 0.4449
7.655 0.4312
9.378 0.4189
11.1 0.4039
12.82 0.381
14.54 0.352
16.27 0.3312
17.99 0.3413
19.71 0.3643
21.43 0.3843
