# U0/t0  S/(Nkb)
3.062 0.467
4.593 0.4469
6.124 0.4297
7.655 0.4177
9.378 0.4057
11.1 0.3777
12.82 0.3572
14.54 0.3213
16.27 0.31
17.99 0.3107
19.71 0.3343
21.43 0.3557
