# U0/t0  S/(Nkb)
3.062 1.488
4.593 1.391
6.124 1.252
7.655 1.144
9.378 1.056
11.1 0.9887
12.82 0.9458
14.54 0.9063
16.27 0.8842
17.99 0.8686
19.71 0.8677
21.43 0.8608
