# U0/t0  S/(Nkb)
3.062 0.8992
4.593 0.8275
6.124 0.7663
7.655 0.711
9.378 0.6715
11.1 0.6435
12.82 0.6246
14.54 0.6046
16.27 0.5972
17.99 0.5904
19.71 0.5916
21.43 0.5884
