# U0/t0  S/(Nkb)
3.062 0.5335
4.593 0.506
6.124 0.4855
7.655 0.4686
9.378 0.4518
11.1 0.4365
12.82 0.43
14.54 0.4169
16.27 0.4125
17.99 0.4155
19.71 0.4334
21.43 0.4489
