# U0/t0  Spi  +-
4.11 1.193 0.01726
4.26 1.215 0.01758
4.409 1.236 0.01789
4.559 1.257 0.01819
4.709 1.277 0.01848
4.858 1.296 0.01875
5.008 1.314 0.01902
5.158 1.332 0.01927
5.307 1.349 0.01952
5.457 1.365 0.01975
5.607 1.38 0.01998
5.756 1.395 0.02019
5.906 1.409 0.0204
6.056 1.423 0.0206
6.205 1.436 0.02078
6.355 1.449 0.02096
6.505 1.46 0.02113
6.654 1.472 0.0213
6.804 1.482 0.02145
6.954 1.492 0.0216
7.103 1.502 0.02174
7.253 1.511 0.02187
7.403 1.52 0.02199
7.553 1.528 0.02211
7.702 1.535 0.02222
7.852 1.542 0.02232
8.002 1.549 0.02242
8.151 1.555 0.0225
8.301 1.561 0.02259
8.451 1.566 0.02266
8.6 1.571 0.02273
8.75 1.575 0.0228
8.9 1.579 0.02286
9.049 1.583 0.02291
9.199 1.586 0.02296
9.349 1.589 0.023
9.498 1.592 0.02304
9.648 1.594 0.02307
9.798 1.596 0.0231
9.947 1.598 0.02312
10.1 1.599 0.02314
10.25 1.6 0.02316
10.4 1.601 0.02317
10.55 1.601 0.02317
10.7 1.601 0.02317
10.85 1.601 0.02317
11 1.601 0.02317
11.14 1.6 0.02316
11.29 1.599 0.02315
11.44 1.598 0.02313
11.59 1.597 0.02311
11.74 1.595 0.02309
11.89 1.594 0.02307
12.04 1.592 0.02304
12.19 1.59 0.02301
12.34 1.588 0.02298
12.49 1.585 0.02294
12.64 1.583 0.0229
12.79 1.58 0.02287
12.94 1.577 0.02282
13.09 1.574 0.02278
13.24 1.571 0.02274
13.39 1.568 0.02269
13.54 1.564 0.02264
13.69 1.561 0.02259
13.84 1.557 0.02254
13.99 1.554 0.02248
14.14 1.55 0.02243
14.29 1.546 0.02237
14.44 1.542 0.02232
14.59 1.538 0.02226
14.74 1.534 0.0222
14.89 1.53 0.02214
15.04 1.526 0.02208
15.19 1.522 0.02202
15.34 1.517 0.02196
15.49 1.513 0.0219
15.64 1.509 0.02184
15.79 1.504 0.02177
15.93 1.5 0.02171
16.08 1.496 0.02165
16.23 1.491 0.02158
16.38 1.487 0.02152
16.53 1.483 0.02146
16.68 1.478 0.02139
16.83 1.474 0.02133
16.98 1.47 0.02127
17.13 1.465 0.0212
17.28 1.461 0.02114
17.43 1.457 0.02108
17.58 1.452 0.02102
17.73 1.448 0.02096
17.88 1.444 0.02089
18.03 1.44 0.02083
18.18 1.435 0.02077
18.33 1.431 0.02071
18.48 1.427 0.02066
18.63 1.423 0.0206
18.78 1.419 0.02054
18.93 1.415 0.02048
19.08 1.411 0.02043
19.23 1.408 0.02037
19.38 1.404 0.02032
19.53 1.4 0.02026
19.68 1.397 0.02021
19.83 1.393 0.02016
19.98 1.389 0.02011
20.13 1.386 0.02006
20.28 1.383 0.02001
20.43 1.379 0.01996
20.57 1.376 0.01991
20.72 1.373 0.01987
20.87 1.37 0.01982
21.02 1.367 0.01978
21.17 1.364 0.01974
21.32 1.361 0.01969
21.47 1.358 0.01965
21.62 1.355 0.01961
21.77 1.352 0.01957
21.92 1.35 0.01953
22.07 1.347 0.0195
22.22 1.345 0.01946
22.37 1.342 0.01942
22.52 1.34 0.01939
22.67 1.337 0.01936
22.82 1.335 0.01932
22.97 1.333 0.01929
23.12 1.331 0.01926
23.27 1.329 0.01923
23.42 1.327 0.0192
23.57 1.325 0.01917
23.72 1.323 0.01914
23.87 1.321 0.01912
24.02 1.319 0.01909
24.17 1.317 0.01906
24.32 1.315 0.01904
24.47 1.314 0.01901
24.62 1.312 0.01899
24.77 1.31 0.01896
24.92 1.309 0.01894
25.07 1.307 0.01892
25.22 1.306 0.0189
25.36 1.304 0.01887
25.51 1.303 0.01885
25.66 1.301 0.01883
25.81 1.3 0.01881
25.96 1.298 0.01879
26.11 1.297 0.01876
26.26 1.295 0.01874
26.41 1.294 0.01872
26.56 1.292 0.0187
26.71 1.29 0.01868
26.86 1.289 0.01865
27.01 1.287 0.01863
27.16 1.286 0.01861
27.31 1.284 0.01858
27.46 1.282 0.01856
27.61 1.281 0.01853
27.76 1.279 0.01851
27.91 1.277 0.01848
28.06 1.275 0.01845
28.21 1.273 0.01842
28.36 1.271 0.01839
28.51 1.269 0.01836
28.66 1.266 0.01833
28.81 1.264 0.01829
28.96 1.262 0.01826
29.11 1.259 0.01822
29.26 1.256 0.01818
29.41 1.254 0.01814
29.56 1.251 0.0181
29.71 1.248 0.01806
29.86 1.244 0.01801
