# U0/t0  Spi  +-
4.11 0.9578 0.005862
4.26 0.9686 0.005928
4.409 0.9791 0.005993
4.559 0.9894 0.006056
4.709 0.9994 0.006117
4.858 1.009 0.006177
5.008 1.019 0.006235
5.158 1.028 0.006291
5.307 1.037 0.006347
5.457 1.046 0.0064
5.607 1.054 0.006452
5.756 1.062 0.006503
5.906 1.071 0.006552
6.056 1.078 0.0066
6.205 1.086 0.006647
6.355 1.093 0.006692
6.505 1.101 0.006736
6.654 1.108 0.006779
6.804 1.114 0.00682
6.954 1.121 0.00686
7.103 1.127 0.006899
7.253 1.133 0.006936
7.403 1.139 0.006973
7.553 1.145 0.007008
7.702 1.151 0.007042
7.852 1.156 0.007075
8.002 1.161 0.007106
8.151 1.166 0.007137
8.301 1.171 0.007167
8.451 1.176 0.007195
8.6 1.18 0.007222
8.75 1.184 0.007249
8.9 1.188 0.007274
9.049 1.192 0.007299
9.199 1.196 0.007322
9.349 1.2 0.007344
9.498 1.203 0.007366
9.648 1.207 0.007386
9.798 1.21 0.007406
9.947 1.213 0.007425
10.1 1.216 0.007443
10.25 1.219 0.00746
10.4 1.221 0.007476
10.55 1.224 0.007491
10.7 1.226 0.007506
10.85 1.229 0.00752
11 1.231 0.007533
11.14 1.233 0.007545
11.29 1.235 0.007557
11.44 1.236 0.007568
11.59 1.238 0.007578
11.74 1.24 0.007587
11.89 1.241 0.007596
12.04 1.242 0.007604
12.19 1.244 0.007612
12.34 1.245 0.007619
12.49 1.246 0.007625
12.64 1.247 0.007631
12.79 1.248 0.007636
12.94 1.248 0.00764
13.09 1.249 0.007644
13.24 1.25 0.007648
13.39 1.25 0.007651
13.54 1.25 0.007653
13.69 1.251 0.007655
13.84 1.251 0.007656
13.99 1.251 0.007657
14.14 1.251 0.007658
14.29 1.251 0.007658
14.44 1.251 0.007658
14.59 1.251 0.007657
14.74 1.251 0.007656
14.89 1.251 0.007654
15.04 1.25 0.007652
15.19 1.25 0.00765
15.34 1.249 0.007647
15.49 1.249 0.007644
15.64 1.248 0.007641
15.79 1.248 0.007638
15.93 1.247 0.007634
16.08 1.247 0.007629
16.23 1.246 0.007625
16.38 1.245 0.00762
16.53 1.244 0.007615
16.68 1.243 0.00761
16.83 1.242 0.007604
16.98 1.241 0.007599
17.13 1.241 0.007593
17.28 1.24 0.007587
17.43 1.238 0.00758
17.58 1.237 0.007574
17.73 1.236 0.007567
17.88 1.235 0.00756
18.03 1.234 0.007553
18.18 1.233 0.007546
18.33 1.232 0.007539
18.48 1.23 0.007531
18.63 1.229 0.007524
18.78 1.228 0.007516
18.93 1.227 0.007508
19.08 1.225 0.007501
19.23 1.224 0.007493
19.38 1.223 0.007485
19.53 1.222 0.007477
19.68 1.22 0.007468
19.83 1.219 0.00746
19.98 1.218 0.007452
20.13 1.216 0.007444
20.28 1.215 0.007435
20.43 1.213 0.007427
20.57 1.212 0.007419
20.72 1.211 0.007411
20.87 1.209 0.007402
21.02 1.208 0.007394
21.17 1.207 0.007386
21.32 1.205 0.007377
21.47 1.204 0.007369
21.62 1.203 0.007361
21.77 1.201 0.007352
21.92 1.2 0.007344
22.07 1.199 0.007336
22.22 1.197 0.007328
22.37 1.196 0.00732
22.52 1.195 0.007312
22.67 1.193 0.007304
22.82 1.192 0.007296
22.97 1.191 0.007289
23.12 1.19 0.007281
23.27 1.188 0.007274
23.42 1.187 0.007266
23.57 1.186 0.007259
23.72 1.185 0.007251
23.87 1.184 0.007244
24.02 1.182 0.007237
24.17 1.181 0.00723
24.32 1.18 0.007223
24.47 1.179 0.007217
24.62 1.178 0.00721
24.77 1.177 0.007203
24.92 1.176 0.007197
25.07 1.175 0.007191
25.22 1.174 0.007185
25.36 1.173 0.007179
25.51 1.172 0.007173
25.66 1.171 0.007167
25.81 1.17 0.007162
25.96 1.169 0.007156
26.11 1.168 0.007151
26.26 1.167 0.007146
26.41 1.167 0.007141
26.56 1.166 0.007136
26.71 1.165 0.007131
26.86 1.164 0.007127
27.01 1.164 0.007122
27.16 1.163 0.007118
27.31 1.162 0.007114
27.46 1.162 0.00711
27.61 1.161 0.007106
27.76 1.16 0.007102
27.91 1.16 0.007099
28.06 1.159 0.007095
28.21 1.159 0.007092
28.36 1.158 0.007089
28.51 1.158 0.007086
28.66 1.157 0.007083
28.81 1.157 0.007081
28.96 1.156 0.007078
29.11 1.156 0.007076
29.26 1.156 0.007073
29.41 1.155 0.007071
29.56 1.155 0.007069
29.71 1.155 0.007067
29.86 1.154 0.007066
