# U0/t0  Spi  +-
4.11 1.323 0.02349
4.26 1.354 0.02405
4.409 1.384 0.02458
4.559 1.413 0.02509
4.709 1.441 0.02559
4.858 1.467 0.02606
5.008 1.493 0.02651
5.158 1.517 0.02695
5.307 1.541 0.02737
5.457 1.563 0.02777
5.607 1.585 0.02815
5.756 1.605 0.02851
5.906 1.625 0.02886
6.056 1.643 0.02919
6.205 1.661 0.0295
6.355 1.678 0.0298
6.505 1.694 0.03008
6.654 1.709 0.03035
6.804 1.723 0.0306
6.954 1.737 0.03084
7.103 1.749 0.03107
7.253 1.761 0.03128
7.403 1.772 0.03147
7.553 1.782 0.03166
7.702 1.792 0.03183
7.852 1.801 0.03199
8.002 1.809 0.03213
8.151 1.817 0.03227
8.301 1.824 0.03239
8.451 1.83 0.0325
8.6 1.836 0.03261
8.75 1.841 0.0327
8.9 1.846 0.03278
9.049 1.85 0.03285
9.199 1.853 0.03291
9.349 1.856 0.03296
9.498 1.858 0.03301
9.648 1.86 0.03304
9.798 1.862 0.03307
9.947 1.863 0.03309
10.1 1.863 0.0331
10.25 1.864 0.0331
10.4 1.863 0.03309
10.55 1.863 0.03308
10.7 1.862 0.03306
10.85 1.86 0.03304
11 1.858 0.03301
11.14 1.856 0.03297
11.29 1.854 0.03293
11.44 1.851 0.03288
11.59 1.848 0.03282
11.74 1.845 0.03276
11.89 1.841 0.0327
12.04 1.837 0.03263
12.19 1.833 0.03256
12.34 1.829 0.03248
12.49 1.824 0.0324
12.64 1.819 0.03231
12.79 1.814 0.03222
12.94 1.809 0.03213
13.09 1.804 0.03203
13.24 1.798 0.03194
13.39 1.792 0.03183
13.54 1.787 0.03173
13.69 1.781 0.03162
13.84 1.775 0.03152
13.99 1.768 0.03141
14.14 1.762 0.03129
14.29 1.756 0.03118
14.44 1.749 0.03106
14.59 1.742 0.03095
14.74 1.736 0.03083
14.89 1.729 0.03071
15.04 1.722 0.03059
15.19 1.715 0.03047
15.34 1.709 0.03035
15.49 1.702 0.03022
15.64 1.695 0.0301
15.79 1.688 0.02998
15.93 1.681 0.02986
16.08 1.674 0.02973
16.23 1.667 0.02961
16.38 1.66 0.02949
16.53 1.653 0.02937
16.68 1.647 0.02925
16.83 1.64 0.02912
16.98 1.633 0.029
17.13 1.626 0.02888
17.28 1.62 0.02877
17.43 1.613 0.02865
17.58 1.606 0.02853
17.73 1.6 0.02842
17.88 1.594 0.0283
18.03 1.587 0.02819
18.18 1.581 0.02808
18.33 1.575 0.02797
18.48 1.569 0.02786
18.63 1.563 0.02775
18.78 1.557 0.02765
18.93 1.551 0.02754
19.08 1.545 0.02744
19.23 1.54 0.02734
19.38 1.534 0.02724
19.53 1.529 0.02715
19.68 1.523 0.02705
19.83 1.518 0.02696
19.98 1.513 0.02687
20.13 1.508 0.02678
20.28 1.503 0.02669
20.43 1.498 0.02661
20.57 1.494 0.02653
20.72 1.489 0.02645
20.87 1.485 0.02637
21.02 1.48 0.02629
21.17 1.476 0.02622
21.32 1.472 0.02614
21.47 1.468 0.02607
21.62 1.464 0.026
21.77 1.46 0.02594
21.92 1.457 0.02587
22.07 1.453 0.02581
22.22 1.45 0.02575
22.37 1.446 0.02569
22.52 1.443 0.02563
22.67 1.44 0.02558
22.82 1.437 0.02552
22.97 1.434 0.02547
23.12 1.431 0.02542
23.27 1.429 0.02537
23.42 1.426 0.02532
23.57 1.423 0.02528
23.72 1.421 0.02523
23.87 1.418 0.02519
24.02 1.416 0.02515
24.17 1.414 0.02511
24.32 1.411 0.02507
24.47 1.409 0.02503
24.62 1.407 0.02499
24.77 1.405 0.02495
24.92 1.403 0.02492
25.07 1.401 0.02488
25.22 1.399 0.02485
25.36 1.397 0.02481
25.51 1.395 0.02478
25.66 1.393 0.02474
25.81 1.391 0.02471
25.96 1.389 0.02467
26.11 1.387 0.02464
26.26 1.385 0.0246
26.41 1.383 0.02457
26.56 1.381 0.02453
26.71 1.379 0.0245
26.86 1.377 0.02446
27.01 1.375 0.02442
27.16 1.373 0.02438
27.31 1.37 0.02434
27.46 1.368 0.02429
27.61 1.365 0.02425
27.76 1.363 0.0242
27.91 1.36 0.02415
28.06 1.357 0.0241
28.21 1.354 0.02405
28.36 1.351 0.02399
28.51 1.348 0.02394
28.66 1.344 0.02387
28.81 1.341 0.02381
28.96 1.337 0.02374
29.11 1.333 0.02367
29.26 1.329 0.0236
29.41 1.324 0.02352
29.56 1.319 0.02343
29.71 1.314 0.02334
29.86 1.309 0.02325
