# U0/t0  Spi  +-
4.11 1.102 0.008609
4.26 1.12 0.008745
4.409 1.137 0.008876
4.559 1.153 0.009003
4.709 1.169 0.009126
4.858 1.184 0.009244
5.008 1.198 0.009359
5.158 1.213 0.00947
5.307 1.226 0.009576
5.457 1.239 0.009679
5.607 1.252 0.009779
5.756 1.264 0.009874
5.906 1.276 0.009966
6.056 1.288 0.01005
6.205 1.298 0.01014
6.355 1.309 0.01022
6.505 1.319 0.0103
6.654 1.329 0.01038
6.804 1.338 0.01045
6.954 1.347 0.01052
7.103 1.355 0.01058
7.253 1.363 0.01064
7.403 1.371 0.0107
7.553 1.378 0.01076
7.702 1.385 0.01082
7.852 1.392 0.01087
8.002 1.398 0.01092
8.151 1.404 0.01096
8.301 1.409 0.01101
8.451 1.415 0.01105
8.6 1.42 0.01109
8.75 1.424 0.01112
8.9 1.429 0.01116
9.049 1.433 0.01119
9.199 1.436 0.01122
9.349 1.44 0.01125
9.498 1.443 0.01127
9.648 1.446 0.01129
9.798 1.449 0.01132
9.947 1.451 0.01134
10.1 1.454 0.01135
10.25 1.456 0.01137
10.4 1.458 0.01138
10.55 1.459 0.0114
10.7 1.46 0.01141
10.85 1.462 0.01141
11 1.463 0.01142
11.14 1.463 0.01143
11.29 1.464 0.01143
11.44 1.464 0.01144
11.59 1.464 0.01144
11.74 1.465 0.01144
11.89 1.464 0.01144
12.04 1.464 0.01143
12.19 1.464 0.01143
12.34 1.463 0.01143
12.49 1.462 0.01142
12.64 1.461 0.01141
12.79 1.46 0.01141
12.94 1.459 0.0114
13.09 1.458 0.01139
13.24 1.457 0.01138
13.39 1.455 0.01136
13.54 1.454 0.01135
13.69 1.452 0.01134
13.84 1.45 0.01132
13.99 1.448 0.01131
14.14 1.446 0.01129
14.29 1.444 0.01128
14.44 1.442 0.01126
14.59 1.44 0.01124
14.74 1.438 0.01123
14.89 1.435 0.01121
15.04 1.433 0.01119
15.19 1.43 0.01117
15.34 1.428 0.01115
15.49 1.425 0.01113
15.64 1.423 0.01111
15.79 1.42 0.01109
15.93 1.417 0.01107
16.08 1.414 0.01105
16.23 1.412 0.01102
16.38 1.409 0.011
16.53 1.406 0.01098
16.68 1.403 0.01096
16.83 1.4 0.01094
16.98 1.397 0.01091
17.13 1.394 0.01089
17.28 1.391 0.01087
17.43 1.389 0.01084
17.58 1.386 0.01082
17.73 1.383 0.0108
17.88 1.38 0.01078
18.03 1.377 0.01075
18.18 1.374 0.01073
18.33 1.371 0.01071
18.48 1.368 0.01068
18.63 1.365 0.01066
18.78 1.362 0.01064
18.93 1.359 0.01062
19.08 1.356 0.01059
19.23 1.354 0.01057
19.38 1.351 0.01055
19.53 1.348 0.01053
19.68 1.345 0.01051
19.83 1.342 0.01048
19.98 1.34 0.01046
20.13 1.337 0.01044
20.28 1.334 0.01042
20.43 1.332 0.0104
20.57 1.329 0.01038
20.72 1.327 0.01036
20.87 1.324 0.01034
21.02 1.322 0.01032
21.17 1.319 0.0103
21.32 1.317 0.01028
21.47 1.314 0.01026
21.62 1.312 0.01025
21.77 1.31 0.01023
21.92 1.307 0.01021
22.07 1.305 0.01019
22.22 1.303 0.01017
22.37 1.301 0.01016
22.52 1.299 0.01014
22.67 1.296 0.01012
22.82 1.294 0.01011
22.97 1.292 0.01009
23.12 1.29 0.01008
23.27 1.288 0.01006
23.42 1.287 0.01005
23.57 1.285 0.01003
23.72 1.283 0.01002
23.87 1.281 0.01001
24.02 1.279 0.009992
24.17 1.278 0.009978
24.32 1.276 0.009965
24.47 1.274 0.009952
24.62 1.273 0.009939
24.77 1.271 0.009927
24.92 1.27 0.009915
25.07 1.268 0.009903
25.22 1.267 0.009891
25.36 1.265 0.00988
25.51 1.264 0.009868
25.66 1.262 0.009857
25.81 1.261 0.009846
25.96 1.259 0.009835
26.11 1.258 0.009824
26.26 1.257 0.009814
26.41 1.255 0.009803
26.56 1.254 0.009793
26.71 1.253 0.009782
26.86 1.251 0.009772
27.01 1.25 0.009761
27.16 1.249 0.009751
27.31 1.247 0.009741
27.46 1.246 0.00973
27.61 1.245 0.00972
27.76 1.243 0.009709
27.91 1.242 0.009699
28.06 1.241 0.009688
28.21 1.239 0.009677
28.36 1.238 0.009666
28.51 1.236 0.009655
28.66 1.235 0.009644
28.81 1.233 0.009632
28.96 1.232 0.00962
29.11 1.23 0.009608
29.26 1.229 0.009595
29.41 1.227 0.009582
29.56 1.225 0.009569
29.71 1.224 0.009555
29.86 1.222 0.009541
