# U0/t0  Spi  +-
4.11 1.284 0.02243
4.26 1.312 0.02291
4.409 1.339 0.02338
4.559 1.364 0.02382
4.709 1.389 0.02425
4.858 1.413 0.02467
5.008 1.435 0.02506
5.158 1.457 0.02544
5.307 1.478 0.02581
5.457 1.498 0.02615
5.607 1.517 0.02649
5.756 1.535 0.02681
5.906 1.552 0.02711
6.056 1.569 0.0274
6.205 1.585 0.02767
6.355 1.6 0.02793
6.505 1.614 0.02818
6.654 1.627 0.02842
6.804 1.64 0.02864
6.954 1.652 0.02885
7.103 1.663 0.02904
7.253 1.674 0.02923
7.403 1.684 0.0294
7.553 1.693 0.02957
7.702 1.702 0.02972
7.852 1.71 0.02986
8.002 1.717 0.02999
8.151 1.724 0.03011
8.301 1.731 0.03022
8.451 1.736 0.03032
8.6 1.741 0.03041
8.75 1.746 0.03049
8.9 1.75 0.03056
9.049 1.754 0.03063
9.199 1.757 0.03069
9.349 1.76 0.03073
9.498 1.762 0.03077
9.648 1.764 0.03081
9.798 1.766 0.03083
9.947 1.767 0.03085
10.1 1.768 0.03086
10.25 1.768 0.03087
10.4 1.768 0.03087
10.55 1.767 0.03086
10.7 1.767 0.03085
10.85 1.765 0.03083
11 1.764 0.0308
11.14 1.762 0.03077
11.29 1.76 0.03074
11.44 1.758 0.0307
11.59 1.756 0.03066
11.74 1.753 0.03061
11.89 1.75 0.03055
12.04 1.746 0.0305
12.19 1.743 0.03044
12.34 1.739 0.03037
12.49 1.735 0.0303
12.64 1.731 0.03023
12.79 1.727 0.03016
12.94 1.723 0.03008
13.09 1.718 0.03
13.24 1.713 0.02992
13.39 1.708 0.02983
13.54 1.703 0.02974
13.69 1.698 0.02965
13.84 1.693 0.02956
13.99 1.687 0.02947
14.14 1.682 0.02937
14.29 1.676 0.02927
14.44 1.671 0.02918
14.59 1.665 0.02908
14.74 1.659 0.02898
14.89 1.654 0.02887
15.04 1.648 0.02877
15.19 1.642 0.02867
15.34 1.636 0.02856
15.49 1.63 0.02846
15.64 1.624 0.02836
15.79 1.618 0.02825
15.93 1.612 0.02815
16.08 1.606 0.02804
16.23 1.6 0.02794
16.38 1.594 0.02783
16.53 1.588 0.02773
16.68 1.582 0.02762
16.83 1.576 0.02752
16.98 1.57 0.02742
17.13 1.564 0.02731
17.28 1.558 0.02721
17.43 1.553 0.02711
17.58 1.547 0.02701
17.73 1.541 0.02691
17.88 1.536 0.02681
18.03 1.53 0.02672
18.18 1.525 0.02662
18.33 1.519 0.02653
18.48 1.514 0.02643
18.63 1.509 0.02634
18.78 1.503 0.02625
18.93 1.498 0.02616
19.08 1.493 0.02607
19.23 1.488 0.02599
19.38 1.483 0.0259
19.53 1.479 0.02582
19.68 1.474 0.02574
19.83 1.469 0.02566
19.98 1.465 0.02558
20.13 1.46 0.0255
20.28 1.456 0.02543
20.43 1.452 0.02535
20.57 1.448 0.02528
20.72 1.444 0.02521
20.87 1.44 0.02514
21.02 1.436 0.02508
21.17 1.432 0.02501
21.32 1.429 0.02495
21.47 1.425 0.02489
21.62 1.422 0.02483
21.77 1.419 0.02477
21.92 1.415 0.02471
22.07 1.412 0.02466
22.22 1.409 0.02461
22.37 1.406 0.02456
22.52 1.403 0.02451
22.67 1.401 0.02446
22.82 1.398 0.02441
22.97 1.395 0.02436
23.12 1.393 0.02432
23.27 1.39 0.02428
23.42 1.388 0.02424
23.57 1.386 0.0242
23.72 1.383 0.02416
23.87 1.381 0.02412
24.02 1.379 0.02408
24.17 1.377 0.02405
24.32 1.375 0.02401
24.47 1.373 0.02398
24.62 1.371 0.02395
24.77 1.369 0.02391
24.92 1.368 0.02388
25.07 1.366 0.02385
25.22 1.364 0.02382
25.36 1.362 0.02379
25.51 1.361 0.02376
25.66 1.359 0.02373
25.81 1.357 0.0237
25.96 1.356 0.02367
26.11 1.354 0.02364
26.26 1.352 0.02361
26.41 1.35 0.02358
26.56 1.349 0.02355
26.71 1.347 0.02352
26.86 1.345 0.02348
27.01 1.343 0.02345
27.16 1.341 0.02342
27.31 1.339 0.02338
27.46 1.337 0.02334
27.61 1.335 0.02331
27.76 1.332 0.02327
27.91 1.33 0.02322
28.06 1.328 0.02318
28.21 1.325 0.02314
28.36 1.322 0.02309
28.51 1.319 0.02304
28.66 1.316 0.02299
28.81 1.313 0.02293
28.96 1.31 0.02288
29.11 1.307 0.02281
29.26 1.303 0.02275
29.41 1.299 0.02268
29.56 1.295 0.02261
29.71 1.291 0.02254
29.86 1.286 0.02246
