# U0/t0  Spi  +-
4.11 1.34 0.02796
4.26 1.376 0.02871
4.409 1.41 0.02942
4.559 1.443 0.03012
4.709 1.475 0.03078
4.858 1.505 0.03142
5.008 1.535 0.03203
5.158 1.563 0.03262
5.307 1.59 0.03318
5.457 1.616 0.03372
5.607 1.64 0.03423
5.756 1.664 0.03472
5.906 1.686 0.03519
6.056 1.708 0.03564
6.205 1.728 0.03607
6.355 1.748 0.03647
6.505 1.766 0.03685
6.654 1.783 0.03722
6.804 1.8 0.03756
6.954 1.815 0.03789
7.103 1.83 0.03819
7.253 1.844 0.03848
7.403 1.857 0.03875
7.553 1.869 0.039
7.702 1.88 0.03923
7.852 1.89 0.03945
8.002 1.9 0.03965
8.151 1.909 0.03984
8.301 1.917 0.04001
8.451 1.925 0.04017
8.6 1.931 0.04031
8.75 1.938 0.04043
8.9 1.943 0.04055
9.049 1.948 0.04065
9.199 1.952 0.04074
9.349 1.956 0.04081
9.498 1.959 0.04087
9.648 1.961 0.04092
9.798 1.963 0.04096
9.947 1.964 0.04099
10.1 1.965 0.04101
10.25 1.965 0.04102
10.4 1.965 0.04101
10.55 1.965 0.041
10.7 1.964 0.04098
10.85 1.962 0.04095
11 1.96 0.04091
11.14 1.958 0.04086
11.29 1.955 0.04081
11.44 1.952 0.04075
11.59 1.949 0.04068
11.74 1.945 0.0406
11.89 1.941 0.04051
12.04 1.937 0.04042
12.19 1.932 0.04033
12.34 1.928 0.04023
12.49 1.922 0.04012
12.64 1.917 0.04001
12.79 1.911 0.03989
12.94 1.905 0.03976
13.09 1.899 0.03964
13.24 1.893 0.03951
13.39 1.887 0.03937
13.54 1.88 0.03923
13.69 1.873 0.03909
13.84 1.866 0.03894
13.99 1.859 0.0388
14.14 1.852 0.03864
14.29 1.844 0.03849
14.44 1.837 0.03833
14.59 1.829 0.03818
14.74 1.822 0.03802
14.89 1.814 0.03785
15.04 1.806 0.03769
15.19 1.798 0.03753
15.34 1.79 0.03736
15.49 1.782 0.0372
15.64 1.774 0.03703
15.79 1.766 0.03686
15.93 1.758 0.03669
16.08 1.75 0.03653
16.23 1.742 0.03636
16.38 1.734 0.03619
16.53 1.726 0.03602
16.68 1.718 0.03586
16.83 1.71 0.03569
16.98 1.702 0.03553
17.13 1.695 0.03536
17.28 1.687 0.0352
17.43 1.679 0.03504
17.58 1.671 0.03488
17.73 1.664 0.03472
17.88 1.656 0.03456
18.03 1.649 0.0344
18.18 1.641 0.03425
18.33 1.634 0.0341
18.48 1.627 0.03394
18.63 1.619 0.0338
18.78 1.612 0.03365
18.93 1.605 0.0335
19.08 1.599 0.03336
19.23 1.592 0.03322
19.38 1.585 0.03308
19.53 1.579 0.03295
19.68 1.573 0.03282
19.83 1.566 0.03269
19.98 1.56 0.03256
20.13 1.554 0.03243
20.28 1.548 0.03231
20.43 1.543 0.03219
20.57 1.537 0.03208
20.72 1.532 0.03196
20.87 1.526 0.03185
21.02 1.521 0.03174
21.17 1.516 0.03164
21.32 1.511 0.03153
21.47 1.506 0.03143
21.62 1.502 0.03134
21.77 1.497 0.03124
21.92 1.493 0.03115
22.07 1.488 0.03106
22.22 1.484 0.03097
22.37 1.48 0.03089
22.52 1.476 0.03081
22.67 1.472 0.03073
22.82 1.469 0.03065
22.97 1.465 0.03058
23.12 1.462 0.03051
23.27 1.459 0.03044
23.42 1.455 0.03037
23.57 1.452 0.03031
23.72 1.449 0.03024
23.87 1.446 0.03018
24.02 1.444 0.03013
24.17 1.441 0.03007
24.32 1.438 0.03002
24.47 1.436 0.02996
24.62 1.433 0.02991
24.77 1.431 0.02986
24.92 1.429 0.02981
25.07 1.426 0.02977
25.22 1.424 0.02972
25.36 1.422 0.02967
25.51 1.42 0.02963
25.66 1.418 0.02959
25.81 1.416 0.02954
25.96 1.414 0.0295
26.11 1.412 0.02946
26.26 1.41 0.02942
26.41 1.408 0.02938
26.56 1.406 0.02933
26.71 1.404 0.02929
26.86 1.401 0.02925
27.01 1.399 0.0292
27.16 1.397 0.02916
27.31 1.395 0.02911
27.46 1.393 0.02907
27.61 1.39 0.02902
27.76 1.388 0.02897
27.91 1.386 0.02892
28.06 1.383 0.02886
28.21 1.38 0.0288
28.36 1.377 0.02874
28.51 1.374 0.02868
28.66 1.371 0.02862
28.81 1.368 0.02855
28.96 1.365 0.02848
29.11 1.361 0.0284
29.26 1.357 0.02832
29.41 1.353 0.02824
29.56 1.349 0.02815
29.71 1.344 0.02806
29.86 1.34 0.02796
