# U0/t0  Spi  +-
4.11 1.015 0.005877
4.26 1.027 0.005951
4.409 1.04 0.006023
4.559 1.052 0.006093
4.709 1.064 0.006161
4.858 1.075 0.006227
5.008 1.086 0.006291
5.158 1.097 0.006354
5.307 1.107 0.006414
5.457 1.117 0.006473
5.607 1.127 0.006529
5.756 1.137 0.006584
5.906 1.146 0.006638
6.056 1.155 0.006689
6.205 1.163 0.006739
6.355 1.172 0.006788
6.505 1.18 0.006834
6.654 1.188 0.006879
6.804 1.195 0.006923
6.954 1.202 0.006965
7.103 1.209 0.007006
7.253 1.216 0.007045
7.403 1.222 0.007082
7.553 1.229 0.007118
7.702 1.235 0.007153
7.852 1.24 0.007186
8.002 1.246 0.007219
8.151 1.251 0.007249
8.301 1.256 0.007279
8.451 1.261 0.007307
8.6 1.266 0.007334
8.75 1.27 0.007359
8.9 1.275 0.007384
9.049 1.279 0.007407
9.199 1.282 0.00743
9.349 1.286 0.007451
9.498 1.29 0.007471
9.648 1.293 0.007489
9.798 1.296 0.007507
9.947 1.299 0.007524
10.1 1.302 0.00754
10.25 1.304 0.007555
10.4 1.306 0.007569
10.55 1.309 0.007582
10.7 1.311 0.007594
10.85 1.313 0.007605
11 1.314 0.007615
11.14 1.316 0.007624
11.29 1.318 0.007633
11.44 1.319 0.007641
11.59 1.32 0.007648
11.74 1.321 0.007654
11.89 1.322 0.007659
12.04 1.323 0.007664
12.19 1.324 0.007668
12.34 1.324 0.007671
12.49 1.325 0.007674
12.64 1.325 0.007676
12.79 1.325 0.007677
12.94 1.325 0.007678
13.09 1.325 0.007678
13.24 1.325 0.007678
13.39 1.325 0.007677
13.54 1.325 0.007675
13.69 1.325 0.007673
13.84 1.324 0.007671
13.99 1.324 0.007668
14.14 1.323 0.007664
14.29 1.322 0.00766
14.44 1.321 0.007656
14.59 1.321 0.007651
14.74 1.32 0.007646
14.89 1.319 0.00764
15.04 1.318 0.007634
15.19 1.317 0.007628
15.34 1.315 0.007621
15.49 1.314 0.007614
15.64 1.313 0.007606
15.79 1.312 0.007599
15.93 1.31 0.007591
16.08 1.309 0.007583
16.23 1.307 0.007574
16.38 1.306 0.007565
16.53 1.304 0.007556
16.68 1.303 0.007547
16.83 1.301 0.007538
16.98 1.3 0.007528
17.13 1.298 0.007519
17.28 1.296 0.007509
17.43 1.294 0.007499
17.58 1.293 0.007488
17.73 1.291 0.007478
17.88 1.289 0.007468
18.03 1.287 0.007457
18.18 1.285 0.007446
18.33 1.284 0.007436
18.48 1.282 0.007425
18.63 1.28 0.007414
18.78 1.278 0.007403
18.93 1.276 0.007392
19.08 1.274 0.007381
19.23 1.272 0.00737
19.38 1.27 0.007359
19.53 1.268 0.007348
19.68 1.266 0.007337
19.83 1.265 0.007326
19.98 1.263 0.007315
20.13 1.261 0.007303
20.28 1.259 0.007292
20.43 1.257 0.007282
20.57 1.255 0.007271
20.72 1.253 0.00726
20.87 1.251 0.007249
21.02 1.249 0.007238
21.17 1.248 0.007228
21.32 1.246 0.007217
21.47 1.244 0.007207
21.62 1.242 0.007196
21.77 1.24 0.007186
21.92 1.239 0.007176
22.07 1.237 0.007166
22.22 1.235 0.007156
22.37 1.234 0.007146
22.52 1.232 0.007136
22.67 1.23 0.007127
22.82 1.229 0.007117
22.97 1.227 0.007108
23.12 1.225 0.007099
23.27 1.224 0.00709
23.42 1.222 0.007081
23.57 1.221 0.007073
23.72 1.219 0.007064
23.87 1.218 0.007056
24.02 1.217 0.007048
24.17 1.215 0.00704
24.32 1.214 0.007032
24.47 1.212 0.007024
24.62 1.211 0.007016
24.77 1.21 0.007009
24.92 1.209 0.007002
25.07 1.207 0.006995
25.22 1.206 0.006988
25.36 1.205 0.006981
25.51 1.204 0.006975
25.66 1.203 0.006969
25.81 1.202 0.006963
25.96 1.201 0.006957
26.11 1.2 0.006951
26.26 1.199 0.006945
26.41 1.198 0.00694
26.56 1.197 0.006935
26.71 1.196 0.00693
26.86 1.195 0.006925
27.01 1.194 0.00692
27.16 1.194 0.006915
27.31 1.193 0.006911
27.46 1.192 0.006907
27.61 1.191 0.006903
27.76 1.191 0.006899
27.91 1.19 0.006895
28.06 1.19 0.006891
28.21 1.189 0.006888
28.36 1.188 0.006884
28.51 1.188 0.006881
28.66 1.187 0.006878
28.81 1.187 0.006875
28.96 1.186 0.006872
29.11 1.186 0.00687
29.26 1.185 0.006867
29.41 1.185 0.006865
29.56 1.185 0.006862
29.71 1.184 0.00686
29.86 1.184 0.006858
