  0.2  0.05     1.00059974194840            4.834399638039911E-006
  0.4  0.05     1.00122716495433            8.673740887810210E-006
  0.6  0.05     1.00187720296921            1.618065140828935E-005
  0.8  0.05     1.00259104506535            1.705336353086361E-005
  1.0  0.05     1.00342150137206            2.988532639637684E-005
  1.2  0.05     1.00428157011488            2.988101417281526E-005
  1.4  0.05     1.00532453163247            2.944695029057905E-005
  1.6  0.05     1.00657836484545            2.358764117329420E-005
  1.8  0.05     1.00786899087847            6.472181879440533E-005
  2.0  0.05     1.00945058726818            5.038669404947240E-005
  2.2  0.05     1.01141360137767            3.381756156962600E-005
  2.4  0.05     1.01358131179078            2.816700246299641E-005
  2.6  0.05     1.01625144335374            8.808933710582293E-005
  2.8  0.05     1.01906506984384            9.510817589272570E-005
  3.0  0.05     1.02259012433756            6.549214240481884E-005
  3.2  0.05     1.02657764887487            1.139856266761990E-004
  3.4  0.05     1.03126626927993            1.696482530882161E-004
  3.6  0.05     1.03646573039542            1.488619387274146E-004
  3.8  0.05     1.04273458891500            1.406017047650575E-004
  4.0  0.05     1.04960031766393            1.651155940203255E-004
  4.2  0.05     1.05674388129548            1.924971262637902E-004
  4.4  0.05     1.06592108700084            2.578071736004566E-004
  4.6  0.05     1.07536743235689            1.685741983849409E-004
  4.8  0.05     1.08626746264219            2.041147339362679E-004
  5.0  0.05     1.09764138214185            2.399489094886779E-004
  5.2  0.05     1.11071576458982            2.451122932931560E-004
  5.4  0.05     1.12438025570989            2.247668963512116E-004
  5.6  0.05     1.13906563956818            2.310309312744297E-004
  5.8  0.05     1.15529305637390            1.766622674205124E-004
  6.0  0.05     1.17182203003552            2.957054416329921E-004
  6.2  0.05     1.18928452761318            4.442464948332170E-004
  6.4  0.05     1.20823541072506            1.729375528382006E-004
  6.6  0.05     1.22721807809873            3.498263086769432E-004
  6.8  0.05     1.24793493739091            2.773914165031138E-004
  7.0  0.05     1.26879661908754            3.890890256020041E-004
  7.2  0.05     1.29062353612726            3.100634593574360E-004
  7.4  0.05     1.31274731846837            3.710392172652748E-004
  7.6  0.05     1.33504872579752            4.473244503788508E-004
  7.8  0.05     1.35902380406216            4.146993445805233E-004
  8.0  0.05     1.38236273661226            1.584783230502567E-004
  8.2  0.05     1.40724889151028            3.958960512656974E-004
  8.4  0.05     1.43155888823904            3.442410773895874E-004
  8.6  0.05     1.45586197065418            3.417494295910973E-004
  8.8  0.05     1.48082016619588            5.523107425172556E-004
  9.0  0.05     1.50555771433771            3.984462221521044E-004
  9.2  0.05     1.53001227341394            5.511117278832364E-004
  9.4  0.05     1.55482537940125            3.548065665443901E-004
  9.6  0.05     1.57925408440323            4.688422285581543E-004
  9.8  0.05     1.60329811292615            2.716416131352220E-004
  10.0  0.05     1.62704673559370            4.187082325486593E-004
  10.2  0.05     1.65075826322201            3.127786532808265E-004
  10.4  0.05     1.67331506933000            1.634539345443174E-004
  10.6  0.05     1.69601254168340            3.766521936719161E-004
  10.8  0.05     1.71718299061235            2.714395174573177E-004
  11.0  0.05     1.73815180883337            2.469745522894513E-004
  11.2  0.05     1.75820236064132            1.476194012221332E-004
  11.4  0.05     1.77784193288555            3.023031366864065E-004
  11.6  0.05     1.79653458501863            1.502199396223975E-004
  11.8  0.05     1.81430678961323            3.739416494335049E-004
  12.0  0.05     1.83035056344255            2.493584177780540E-004
  12.5  0.05     1.86894094186488            1.285836554694830E-004
  13.0  0.05     1.90110005604787            1.580587037236634E-004
  13.5  0.05     1.92672221780206            1.686399938530596E-004
  14.0  0.05     1.94773990596975            1.240163336682388E-004
  14.5  0.05     1.96360659942677            9.545015617933067E-005
  15.0  0.05     1.97513876220698            1.091226180544723E-004
  15.5  0.05     1.98331231003098            6.099470704220493E-005
  16.0  0.05     1.98889302257093            6.062019485369676E-005
  16.5  0.05     1.99281302619103            2.748628023151705E-005
  17.0  0.05     1.99532886286859            2.001296154207688E-005
  17.5  0.05     1.99701688326201            1.838096514959549E-005
  18.0  0.05     1.99807307861983            1.592929886212596E-005
  18.5  0.05     1.99877416337842            5.253913356507444E-006
  19.0  0.05     1.99920309777070            3.716926722284607E-006
  19.5  0.05     1.99949444240168            2.355604042635707E-006
  20.0  0.05     1.99967958576152            2.195491801077522E-006

